x,y,z,color
2300,4,1424.93070314,#F60601
2900,32,56.607512,#A65008
1700,32,378.169510714,#CA2D06
2500,16,363.385194429,#FE0000
1800,8,124.187930857,#08F501
2200,4,3626.47744629,#DA0E16
2300,32,1867.50462714,#0401F8
2200,4,2232.00212071,#FE0000
1700,2,713.798150429,#04F900
2000,8,325.466420286,#1FDB03
2900,1,4583.17178957,#F90302
2200,2,3885.52014314,#FE0000
2700,32,280.911716571,#CB1122
2800,16,2499.75124229,#0903F1
1400,16,176.192764714,#0AF202
1300,8,497.710546714,#0DEE03
2500,8,175.236650714,#24D603
2400,8,5504.92044071,#0000FE
2800,2,3555.829715,#DA0E16
2400,2,179.788828286,#08F401
2700,32,1098.20204886,#0100FC
2300,4,3550.749223,#C51226
2500,16,1120.220894,#5F128D
1700,32,1557.571561,#A61542
1400,8,853.513863714,#00FE00
1800,16,1830.43102357,#DF0C12
1600,32,1588.87652857,#DB0D15
2300,2,568.385989286,#04FA00
2900,16,61.5131278571,#26D404
2901,32,982.903448143,#0703F4
2400,4,185.075650857,#00FE00
1900,16,85.1897954286,#00FE00
2400,1,3091.34701571,#B64007
2900,8,148.358550714,#45B206
2300,4,680.616530286,#718408
2000,8,971.445025,#ED0E03
1900,4,3334.86168057,#FE0000
2900,1,1366.45698629,#6B8B07
1600,1,1781.97948743,#05F801
1300,2,5457.37957757,#04FA00
2400,32,3462.71922543,#2412C7
2800,8,512.829654857,#FE0000
1900,4,143.174773714,#0CEF02
1400,2,1214.49113886,#07F501
2000,16,452.190120143,#DF1A05
2901,1,642.133342429,#0AF201
2700,4,3329.353225,#751475
2300,32,1487.55935843,#0000FE
2900,8,545.009072,#FD0100
2901,1,7575.16206129,#B21438
2800,16,875.877773286,#551198
1300,4,5281.52814529,#29D104
1700,1,984.641353857,#0AF202
1900,32,1163.657973,#751475
2500,4,2128.73282029,#E70A0D
2000,2,522.641118286,#00FE00
1600,1,3121.46784743,#00FE00
2000,2,2730.23152157,#BE3807
1300,2,1407.84816129,#0FEC03
2300,1,5390.71906171,#F40702
2400,16,3142.96260957,#0200FB
2300,2,1300.36888914,#688E07
2700,1,896.844315714,#0DEF01
2700,4,971.887279143,#F90301
2800,2,1841.73560029,#FC0100
1300,32,2848.04487829,#FE0000
1700,16,108.595073,#04F900
2000,4,1414.59637586,#C23407
1400,4,1080.71128114,#00FD00
1300,2,907.784792429,#15E305
2200,32,331.382377429,#F90302
2400,8,87.6419532857,#00FE00
1700,1,6843.07925143,#678F07
1200,1,2031.42937943,#1CDB07
1600,16,147.605162714,#04F900
1700,16,1246.05156229,#FB0200
2200,8,491.672975857,#975E08
1300,32,350.663474714,#00FE00
1700,16,144.375242429,#00FE00
2500,1,1768.82828986,#54A307
2901,8,2512.046201,#0200FB
2000,4,388.652035571,#02FC00
2200,4,3031.40000614,#EE0808
1400,32,565.767272571,#728408
2800,2,3862.63861114,#CE101F
2800,2,532.783599429,#28D204
1200,32,230.645143,#19DE06
1200,4,227.856414714,#28C90C
2300,2,1944.01171229,#C53207
2200,1,2978.82346657,#6A8C07
1300,32,9864.074065,#3D0DB4
2200,8,292.318624571,#2ECB04
1700,16,687.775096143,#AC4A08
1800,32,994.852546286,#C51227
2500,32,212.386011714,#FA0202
1800,4,5714.34169871,#EE0708
2500,1,1191.23806057,#17E402
2901,2,6147.50253243,#410EAE
2700,1,8351.05109171,#D2101C
1300,16,2015.54132886,#3DBB05
1400,2,3378.94449286,#05F800
1800,4,168.312866429,#0DEE03
1800,2,6796.37254129,#FC0100
1600,32,417.622922429,#9B5B08
1300,1,3617.25951614,#08F401
2300,1,7623.13986714,#FE0000
1200,4,194.664898286,#28C90C
2300,32,251.261796143,#FE0000
2900,16,587.183969,#9E154B
2000,32,1623.23432757,#0E04EC
1400,4,265.285746143,#16E205
2800,2,913.608869571,#936208
2300,16,6747.21538543,#1C0DD4
2400,2,485.705782286,#03FA00
2800,2,2358.00600043,#FC0100
2400,1,902.250376857,#02FC00
2901,32,572.767100714,#0702F5
1700,2,268.272890571,#14E505
2800,4,328.727489857,#4AAE06
1200,4,641.104935714,#20D509
2500,32,1519.17050514,#0602F5
2200,32,931.841367714,#430EAC
2900,32,4076.70200314,#3721A5
2700,2,414.565402,#08F501
1700,8,1803.17853614,#E31604
1200,2,2954.69090243,#10EB03
1300,32,1101.16663871,#8D6908
1200,2,857.940578571,#20D409
2800,32,3605.56629243,#321CAF
1600,1,880.754775286,#11E904
1900,4,153.638554286,#0BF002
2800,4,3384.43628186,#551198
2700,4,309.383033,#2DCD04
2901,8,189.474243429,#8A6C08
1600,16,761.476277,#6B8B07
2901,4,2119.33592514,#9C154C
1600,8,576.096596429,#02FC00
2500,1,5048.90439671,#FE0000
2901,2,166.935166857,#01FD00
2700,1,2645.00741843,#CF2906
2400,32,305.379510571,#E70A0C
2800,4,128.192803143,#00FE00
1200,4,4493.49287686,#02FC00
1200,2,848.992776714,#20D409
1300,32,559.158162429,#10EC02
2000,8,2523.89241671,#D2101C
1700,4,3631.966148,#ED0D03
